"","total_cup_points","variety","country_of_origin","aroma","flavor","aftertaste","body","balance"
"733",82.33,"Mundo Novo","Brazil",7.58,7.58,7.25,7.42,7.5
"734",82.33,"Caturra","Colombia",7.83,7.58,7.33,7.58,7.42
"735",82.25,"Catuai","Brazil",7.58,7.5,7.25,7.67,7.33
"736",82.25,NA,"Taiwan",7,7.08,7,7,7
"737",82.25,"Pacas","Guatemala",7.67,7.5,7.25,7.42,7.42
"738",82.25,"Yellow Bourbon","Brazil",7.42,7.67,7.5,7.5,7.42
"739",82.25,"Bourbon","El Salvador",7.58,7.67,7.5,7.83,8.42
"740",82.25,"Catuai","Honduras",7.58,7.5,7.42,7.42,7.42
"741",82.25,"Gesha","Malawi",7.58,7.42,7.33,7.58,7.5
"742",82.25,"Bourbon","Brazil",7.75,7.58,7.42,7.33,7.33
"743",82.25,"Typica","Taiwan",7.5,7.5,7.5,7.5,7.5
"744",82.25,"Mundo Novo","Mexico",7.58,7.58,7.42,7.42,7.42
"745",82.25,"Hawaiian Kona","United States (Hawaii)",7.33,7.42,7.5,7.5,7.42
"746",82.25,"Bourbon","Mexico",7.58,7.58,7.5,7.42,7.42
"747",82.25,"Bourbon","Guatemala",7.5,7.5,7.33,7.67,7.33
"748",82.25,"Bourbon","Mexico",7.5,7.58,7.42,7.33,7.42
"749",82.25,"Typica","Mexico",7.67,7.58,7.33,7.42,7.42
"750",82.25,"Other","El Salvador",7.75,7.33,7.33,7.5,7.5
"751",82.25,"Typica","Mexico",7.33,7.58,7.42,7.33,7.5
"752",82.25,"Typica","Mexico",7.42,7.5,7.42,7.42,7.5
"753",82.25,"Caturra","Colombia",7.5,7.42,7.67,7.58,7.33
"754",82.25,"Caturra","Colombia",7.67,7.33,7.33,7.5,7.5
"755",82.25,"Arusha","Brazil",7.67,7.58,7.42,7.5,7.58
"756",82.25,NA,"Colombia",7.17,7.25,7.58,7.58,7.67
"757",82.17,"Bourbon","Brazil",7.42,7.42,7.5,7.42,7.5
"758",82.17,"Caturra","Honduras",7.5,7.5,7.17,7.5,7.5
"759",82.17,NA,"Nicaragua",7.5,7.5,7.33,7.5,7.42
"760",82.17,"Bourbon","Tanzania, United Republic Of",7.58,7.42,7.42,7.5,7.42
"761",82.17,"Other","Tanzania, United Republic Of",7.42,7.42,7.42,7.5,7.33
"762",82.17,"Yellow Bourbon","Brazil",6.92,7.58,7.42,7.83,7.5
"763",82.17,NA,"Thailand",7.42,7.42,7.17,7.25,7.67
"764",82.17,"Catuai","Honduras",7.67,7.5,7.25,7.58,7.42
"765",82.17,"Bourbon","Guatemala",7.42,7.42,7.5,7.42,7.5
"766",82.17,"Mundo Novo","Brazil",7.58,7.5,7.42,7.5,7.42
"767",82.17,"Other","Tanzania, United Republic Of",7.75,7.42,7.42,7.33,7.42
"768",82.17,"Other","Mexico",7.42,7.33,7.17,7.33,8.17
"769",82.17,"Other","Mexico",7.5,7.5,7.33,7.5,7.42
"770",82.17,"Typica","Taiwan",7.5,7.5,7.5,7.5,7.5
"771",82.17,"Typica","Taiwan",7.67,7.5,7.5,7.17,7.58
"772",82.17,"Caturra","Colombia",7.33,7.25,7.25,7.75,7.5
"773",82.17,"Typica","Mexico",7.5,7.67,7,7.33,7.5
"774",82.17,"Caturra","Guatemala",7.25,7.75,7,8.17,7.75
"775",82.17,"Typica","Mexico",7.5,7.58,7.25,7.5,7.33
"776",82.17,"Typica","Mexico",7,7.67,7.5,7.42,7.5
"777",82.17,NA,"Colombia",7.58,7.67,7.42,7.17,7.75
"778",82.08,"Bourbon","Indonesia",7.5,7.5,7.42,7.5,7.42
"779",82.08,"Caturra","Colombia",7.75,7.58,7.42,7.83,7.58
"780",82.08,"Bourbon","Brazil",7.42,7.58,7.42,7.42,7.25
"781",82.08,"Yellow Bourbon","Brazil",7.25,7.25,7.58,7.25,7.92
"782",82.08,"Caturra","Costa Rica",7.75,7.42,7.42,7.17,7.42
"783",82.08,"Bourbon","Tanzania, United Republic Of",7.42,7.33,7.42,7.5,7.58
"784",82.08,"Other","Tanzania, United Republic Of",7.42,7.5,7.5,7.33,7.5
"785",82.08,NA,"Colombia",7.5,7.42,7.42,7.67,7.42
"786",82.08,"Caturra","Costa Rica",7.58,7.33,7.33,7.5,7.67
"787",82.08,"Hawaiian Kona","United States (Hawaii)",7.25,7.58,7.58,7.5,7.42
"788",82.08,"Typica","Mexico",7.42,7.58,7.5,7.42,7.42
"789",82.08,"Typica","Mexico",7.5,7.42,7.42,7.25,7.5
"790",82.08,"Typica","Mexico",7.67,7.5,7.25,7.42,7.33
"791",82.08,"Other","Vietnam",7.67,8,7.17,7.67,7.08
"792",82.08,"Typica","Mexico",7.58,7.42,7.25,7.33,7.42
"793",82.08,"Hawaiian Kona","United States (Hawaii)",7.33,7.5,7.33,7.08,7.83
"794",82.08,NA,"Colombia",7.67,7.42,7.67,7.25,7.58
"795",82,"Caturra","Honduras",7.5,7.5,7.17,7.5,7.42
"796",82,"Caturra","Honduras",7.5,7.5,7.25,7.42,7.5
"797",82,"Bourbon","Brazil",7.5,7.33,7.42,7.33,7.42
"798",82,"Other","Tanzania, United Republic Of",7.67,7.33,7.33,7.42,7.42
"799",82,"Other","Laos",7.42,7.5,7.25,7.5,7.5
"800",82,"Other","Tanzania, United Republic Of",7.42,7.42,7.33,7.33,7.42
"801",82,"Gesha","Malawi",7.5,7.42,7.33,7.33,7.5
"802",82,"Typica","Taiwan",7.33,7.5,7.17,7.5,7.33
"803",82,NA,"Thailand",7.58,7.5,7.42,7.33,7.42
"804",82,"Catuai","Costa Rica",7.5,7.25,7.33,7.75,7.5
"805",82,"Caturra","Honduras",7.33,7.33,7.33,7.5,7.83
"806",82,"Caturra","Colombia",7.33,7.33,7.58,7.5,7.58
"807",82,"Typica","Taiwan",7.42,7.58,7.33,8,7.5
"808",82,"Mundo Novo","Brazil",7.33,7.67,7.42,7.33,7.42
"809",82,"Typica","Mexico",7.67,7.33,7.25,7.42,7.42
"810",82,"Mundo Novo","Brazil",7.42,7.5,7.33,7.33,7.5
"811",82,"Catuai","Brazil",7.42,7.5,7.25,7.5,7.42
"812",82,"Bourbon","Guatemala",7.33,7.33,7.33,7.67,7.67
"813",82,"Mundo Novo","Brazil",7.58,7.5,7.17,7.5,7.42
"814",82,"Bourbon","Guatemala",7.75,7.33,7.33,7.75,7.67
"815",82,"Caturra","Colombia",7.33,7,7.08,7.5,7.67
"816",81.92,"Bourbon","Guatemala",7.58,7.5,7.25,7.58,7.5
"817",81.92,"Bourbon","Guatemala",7.5,7.5,7.25,7.42,7.42
"818",81.92,"Caturra","Honduras",7.58,7.5,7.25,7.42,7.5
"819",81.92,"Catuai","Brazil",7.42,7.33,7.33,7.5,7.33
"820",81.92,"Bourbon","El Salvador",7.67,7.58,7.33,7.5,7.67
"821",81.92,"Catuai","Guatemala",7.58,7.58,7.17,7.17,7.33
"822",81.92,"Other","Tanzania, United Republic Of",7.33,7.33,7.33,7.5,7.58
"823",81.92,NA,"Nicaragua",7.58,7.42,7.25,7.5,7.67
"824",81.92,"SL28","Zambia",7.67,7.08,7.42,7.75,7.42
"825",81.92,NA,"Honduras",7.42,7.33,7.33,7.33,7.5
"826",81.92,"Typica","Taiwan",7.5,7.5,7.42,7.5,7.5
"827",81.92,"Bourbon","Mexico",7.58,7.5,7.25,7.5,7.25
"828",81.92,"Typica","Mexico",7.5,7.5,7.25,7.5,7.5
"829",81.92,"Mundo Novo","Mexico",7.5,7.42,7.25,7.33,7.33
"830",81.92,"Other","Mexico",7.33,7.58,7.17,7.42,7.33
"831",81.92,"Bourbon","Mexico",7.67,7.42,7.33,7.5,7.5
"832",81.92,"Mundo Novo","Brazil",7.42,7.58,7.25,7.33,7.5
"833",81.92,NA,"Colombia",7.67,7.33,7.33,7.33,7.33
"834",81.83,"Bourbon","Guatemala",7.42,7.5,7.25,7.33,7.42
"835",81.83,"Catuai","Costa Rica",7.25,7.33,7.5,7.67,7.42
"836",81.83,"Mundo Novo","Brazil",7.42,7.5,7.42,7.42,7.25
"837",81.83,"Other","Indonesia",7.75,7.83,7.58,7.92,7.83
"838",81.83,"Bourbon","Guatemala",7.58,7.5,7.33,7.58,7.25
"839",81.83,"Yellow Bourbon","Brazil",7.17,7.58,6.83,7.75,7.25
"840",81.83,"Yellow Bourbon","Brazil",7.58,7,6.92,7.67,7.5
"841",81.83,"Catuai","Myanmar",7.33,7.58,7.5,7.33,7.33
"842",81.83,"Catuai","Mexico",7.58,7.5,7.33,7.17,7.33
"843",81.83,"Catuai","Honduras",7.5,7.5,7.33,7.42,7.25
"844",81.83,"Caturra","Costa Rica",7.67,7.5,7.5,7.08,7.42
"845",81.83,"Typica","Taiwan",7.67,7.33,7.17,7.75,7.33
"846",81.83,"Typica","Indonesia",7.42,7.42,7.42,7.42,7.42
"847",81.83,"Gesha","Malawi",7.58,7.42,7.33,7.33,7.42
"848",81.83,"Bourbon","Brazil",7.33,7.58,7.25,7.83,7.33
"849",81.83,"Caturra","Honduras",7.5,7.5,7.33,7.33,7.33
"850",81.83,"Typica","Mexico",7.42,7.42,7.25,7.33,7.42
"851",81.83,"Caturra","Colombia",7.5,7.5,7,7.5,7.58
"852",81.83,"Hawaiian Kona","United States (Hawaii)",7.83,7.83,7.83,7.83,7.83
"853",81.83,"Bourbon","Brazil",7.75,7.75,7.5,7.83,7.75
"854",81.83,"Bourbon","Guatemala",7.83,7.67,7.33,7.67,7.83
"855",81.83,"Bourbon","Mexico",7.83,7.33,7.25,7.25,7.33
"856",81.83,"Typica","Mexico",7.33,7.33,7.25,7.5,7.5
"857",81.83,"Mundo Novo","Brazil",7.33,7.67,7.25,7.5,7.25
"858",81.83,NA,"Colombia",7.58,7.5,7.17,7.33,7.33
"859",81.83,NA,"United States (Hawaii)",7.25,7.58,7.83,7.75,7.75
"860",81.75,"Bourbon","Guatemala",7.5,7.5,7.25,7.42,7.33
"861",81.75,"Caturra","Vietnam",7,7.08,7.33,7.5,7.33
"862",81.75,"Other","Tanzania, United Republic Of",7.42,7.42,7.42,7.33,7.33
"863",81.75,NA,"Brazil",7.17,7.25,7.17,7.42,8.25
"864",81.75,"Bourbon","Mexico",7.5,7.5,7.33,7.25,7.25
"865",81.75,"Mundo Novo","Mexico",7.42,7.5,7.17,7.33,7.42
"866",81.75,"Typica","Mexico",7.42,7.5,7.33,7.33,7.33
"867",81.75,"Caturra","Mexico",7.33,7.42,7.33,7.42,7.25
"868",81.75,"Typica","Mexico",7.5,7.42,7.25,7.67,7.25
"869",81.75,"Caturra","Colombia",7.33,7.42,7.33,7.5,7.67
"870",81.75,NA,"Colombia",7.42,7.58,6.92,7.25,8
"871",81.67,"Bourbon","Brazil",7.42,7.5,7.25,7.5,7.25
"872",81.67,"Bourbon","Guatemala",7.42,7.42,7.08,7.33,7.42
"873",81.67,"Bourbon","Guatemala",7.42,7.33,7.17,7.33,7.42
"874",81.67,"Catuai","Honduras",7.58,7.5,7.33,7.42,7.25
"875",81.67,NA,"Tanzania, United Republic Of",7.17,7.33,7.33,7.5,7.33
"876",81.67,NA,"Nicaragua",7.58,7.5,7.25,7.5,7.25
"877",81.67,NA,"Colombia",7.75,7.75,7.75,5.25,7.83
"878",81.67,"Yellow Bourbon","Brazil",7.25,7.75,6.92,7.5,7.58
"879",81.67,"Other","Tanzania, United Republic Of",7.42,7.33,7.25,7.5,7.42
"880",81.67,"Other","Tanzania, United Republic Of",7.33,7.33,7.5,7.42,7.33
"881",81.67,"Bourbon","Brazil",7.25,7.42,7.25,7.5,7.42
"882",81.67,"Sumatra","Indonesia",7.17,7.42,7.33,7.33,7.42
"883",81.67,"Caturra","Honduras",7.5,7.33,7.5,7.17,7.17
"884",81.67,"Caturra","Costa Rica",7.5,7.17,7.17,7.5,7.08
"885",81.67,NA,"Mexico",7.42,7.42,7.67,7.58,7.5
"886",81.67,"Typica","Taiwan",7.5,7.5,7.5,7.42,7.25
"887",81.67,"Typica","Taiwan",7.58,7.42,7.33,7.33,7.33
"888",81.67,"Typica","Mexico",7.5,7.42,7.08,7.33,7.33
"889",81.67,"Bourbon","Guatemala",7.5,7.67,7.33,7.33,7.33
"890",81.67,"Typica","Mexico",7.25,7.67,7.58,7.67,7.58
"891",81.67,"Bourbon","Mexico",7.67,7.25,7.17,7.5,7.25
"892",81.67,"Bourbon","Mexico",7.5,7.42,7.33,7.42,7.42
"893",81.67,"Bourbon","Mexico",7.58,7.42,7.25,7.25,7.17
"894",81.67,"Caturra","Mexico",7.75,7.58,7.25,7.58,7.33
"895",81.67,"Hawaiian Kona","United States (Hawaii)",7.42,7.33,7.33,7.17,7.83
"896",81.58,"Catimor","Honduras",7.5,7.42,7.08,7.5,7.33
"897",81.58,"Bourbon","Guatemala",7.42,7.42,7.08,7.42,7.33
"898",81.58,"Typica","Taiwan",7.42,7.42,7.25,7.33,7.25
"899",81.58,"Caturra","Costa Rica",7.58,7.42,7.5,7.08,7.58
"900",81.58,"Other","Tanzania, United Republic Of",7.42,7.42,7.33,7.42,7.33
"901",81.58,"Gesha","Malawi",7.42,7.42,7.17,7.33,7.33
"902",81.58,"Typica","Taiwan",7.33,7.17,7.08,8.33,8.25
"903",81.58,"Yellow Bourbon","Brazil",7.42,7.42,7.33,7.5,7.25
"904",81.58,"Bourbon","Guatemala",7.42,7.33,7.17,7.42,7.5
"905",81.58,"Typica","Mexico",7.67,7.5,7.42,6.75,7.42
"906",81.58,"Marigojipe","Mexico",7.33,7.5,7.25,7.5,7.17
"907",81.58,"Typica","Mexico",7.67,7.58,7.42,7.58,7.42
"908",81.58,NA,"Thailand",7.08,7.33,7.58,7.17,7.5
"909",81.58,NA,"Thailand",7.33,7.33,7.17,7.58,7.33
"910",81.58,NA,"Costa Rica",7.25,7.17,7.33,7.5,7.75
"911",81.5,"Bourbon","Guatemala",7.67,7.58,7.17,7.33,7.42
"912",81.5,"Caturra","Nicaragua",7.5,7.42,7.33,7.25,7.33
"913",81.5,"Caturra","Honduras",7.5,7.5,7.33,7.17,7.25
"914",81.5,"Bourbon","Guatemala",7.5,7.42,7.25,7.5,7.25
"915",81.5,"Typica","Taiwan",7.5,7.42,7.33,7.58,7.25
"916",81.5,"Catuai","Myanmar",7.25,7.42,7.25,7.33,7.33
"917",81.5,"Caturra","Costa Rica",7.83,7.33,7.08,7.33,7.5
"918",81.5,"Gesha","Malawi",7.67,7.42,6.92,7.5,7.17
"919",81.5,"Other","Guatemala",7.5,7.42,7.17,7.25,7.42
"920",81.5,"Typica","Taiwan",7.42,7.33,7.67,7.42,7.5
"921",81.5,"Yellow Bourbon","Brazil",7.58,7.5,7.5,7.67,7.83
"922",81.5,"Blue Mountain","Haiti",7.42,7.33,7.25,7.42,7.33
"923",81.5,"Typica","Taiwan",7.5,7.42,7.25,7.33,7.33
"924",81.5,"Typica","Mexico",7.33,7.33,7.17,7.5,7.5
"925",81.5,"Typica","Mexico",7.58,7.42,7.25,7.33,7.33
"926",81.5,"Catuai","Mexico",7.42,7.25,7.17,7.17,8
"927",81.5,"Typica","Mexico",7.33,7.5,7.33,7.33,7.42
"928",81.5,"Bourbon","Mexico",7.42,7.42,7.33,7.25,7.42
"929",81.5,"Typica","Mexico",7.5,7.5,7.25,7.42,7.58
"930",81.5,"Other","Indonesia",7.75,7.17,7.17,7.58,7.33
"931",81.5,"Bourbon","Brazil",7.5,7.42,7.17,7.5,7.33
"932",81.5,"Bourbon","Guatemala",7.33,7.5,7.33,7.17,7.33
"933",81.5,NA,"Colombia",7.42,7.42,7.17,7.42,7.33
"934",81.5,NA,"United States (Hawaii)",7.33,7.33,7.33,7.5,7.83
"935",81.42,"Mundo Novo","Mexico",7.58,7.33,7.08,7.5,7.33
"936",81.42,"Catuai","Guatemala",7.42,7.33,7.08,7.33,7.25
"937",81.42,"Catuai","Brazil",7.33,7.5,7.5,6.83,7.42
"938",81.42,"Catuai","Honduras",7.5,7.33,7.17,7.5,7.42
"939",81.42,"Typica","Taiwan",7.83,7.75,7.42,7.08,7.08
"940",81.42,"Gesha","Malawi",7.58,7.17,7.33,7.08,7.42
"941",81.42,"Bourbon","Brazil",7.25,7.5,7.42,7.33,7.33
"942",81.42,"Bourbon","Guatemala",7.42,7.5,7.17,7.42,7.42
"943",81.42,"Typica","Mexico",7.67,7.33,7.25,7.25,7.42
"944",81.42,NA,"Peru",7.42,7.42,7.17,7.42,7.42
"945",81.42,"Bourbon","Guatemala",7.42,7.33,7.25,7.42,7.5
"946",81.42,"Caturra","Mexico",7.42,7.33,7.25,7.25,7.42
"947",81.42,"Typica","Mexico",7.42,7.42,7.25,7.5,7.33
"948",81.42,"Caturra","Colombia",7.5,7.42,7.25,7.17,7.75
"949",81.42,NA,"Colombia",7.75,7.33,7.42,7.33,7.25
"950",81.42,"Peaberry","United States (Hawaii)",7.83,7,7,7.58,7.5
"951",81.33,"Caturra","Colombia",7.5,7.33,7.33,7.33,7.42
"952",81.33,"Caturra","Honduras",7.5,7.5,7,7.5,7.33
"953",81.33,NA,"Mexico",7.67,7.42,7,7.58,7.08
"954",81.33,"Catuai","Brazil",7.25,7.33,7.33,7.33,7.42
"955",81.33,"Catuai","Honduras",7.58,7.42,7.17,7.17,7.17
"956",81.33,"Yellow Bourbon","Brazil",7.17,7.33,7.42,7.42,7.33
"957",81.33,"Other","Philippines",7.08,7.33,7.42,7.33,7.5
"958",81.33,"Gesha","Malawi",7.75,7.33,7.08,7.33,7.25
"959",81.33,"Catuai","Honduras",7.33,7.33,7.17,7.5,7.33
"960",81.33,"Typica","Mexico",7.58,7.42,7.25,7.25,7.25
"961",81.33,"Typica","Mexico",7.33,7.25,7.17,7.58,7.33
"962",81.33,"Catuai","Brazil",7.5,7.58,7.5,7.75,7.83
"963",81.25,"Typica","Taiwan",7.83,7.75,7.67,7.83,7.75
"964",81.25,"Yellow Bourbon","Brazil",7.17,7.42,7.17,6.92,8.17
"965",81.25,"Catuai","Nicaragua",7.08,7.5,7.33,7.42,7.25
"966",81.25,"Catuai","Honduras",7.42,7.17,7.17,7.33,7.25
"967",81.25,"Pacamara","Guatemala",7.33,7.42,7.17,7.42,7.33
"968",81.25,"Other","Tanzania, United Republic Of",7.33,7.17,7.17,7.25,7.42
"969",81.25,"Typica","Taiwan",7.5,7.5,7.25,7.25,7.25
"970",81.25,"Caturra","Guatemala",7.5,7.33,7.5,7,7.25
"971",81.25,"Typica","Mexico",7.42,7.42,7.33,7.5,7.42
"972",81.17,NA,"Nicaragua",7.33,7.5,7.17,7.58,7.17
"973",81.17,"Bourbon","Tanzania, United Republic Of",7.67,7.17,7.17,7.5,7.17
"974",81.17,"Caturra","Mexico",7.75,7.58,7.08,7.08,7.25
"975",81.17,"Caturra","Costa Rica",7.5,7.5,7.33,7.08,7.17
"976",81.17,"Catuai","Honduras",7.42,7.33,7,7.33,7.33
"977",81.17,"Caturra","Thailand",6.83,7.42,7.42,7.5,7.42
"978",81.17,"Typica","Philippines",7.25,7.25,7.25,7.58,7.5
"979",81.17,"Bourbon","Tanzania, United Republic Of",7.58,7.17,7.17,7.33,7.25
"980",81.17,"Caturra","Malawi",7.58,7.25,7.33,7.33,7.33
"981",81.17,"Catuai","Costa Rica",7.33,7.08,7.33,7.33,7.58
"982",81.17,"Catuai","Brazil",7.42,7.42,7.17,7.33,7.25
"983",81.17,"Typica","Mexico",7.42,7.25,7.08,7.42,7.17
"984",81.17,"Caturra","Guatemala",7.42,7.25,7.33,7.25,7.42
"985",81.17,"Mundo Novo","Brazil",7.42,7.33,7.25,7.5,7.17
"986",81.17,NA,"United States (Hawaii)",7.25,7.75,7.67,7.42,7.67
"987",81.08,NA,"Ethiopia",7.42,7.33,7.17,7.42,7.17
"988",81.08,"Mundo Novo","Brazil",7.58,7.42,7.5,7.75,7.58
"989",81.08,"Other","Nicaragua",7.33,7.33,7.33,7.33,7.33
"990",81.08,"Pache Comun","United States",7.42,7.17,7.33,7.25,7.33
"991",81.08,"Other","Tanzania, United Republic Of",7.42,7.33,7.33,7.25,7.33
"992",81.08,"Caturra","Costa Rica",7.42,7.25,7.17,7.25,7.58
"993",81.08,"Other","United States (Puerto Rico)",7.67,7.75,7.67,7.58,7.67
"994",81.08,"Typica","Mexico",7.25,7.42,7.33,7.17,7.33
"995",81.08,"Typica","Mexico",7.33,7.25,7.33,7.25,7.42
"996",81.08,"Typica","Mexico",7.33,7.33,7.25,7.25,7.25
"997",81.08,"Typica","Mexico",7.42,7.33,7.25,7.17,7.25
"998",81.08,"Hawaiian Kona","United States (Hawaii)",7.42,7.42,7.25,6.92,7.17
"999",81,"Bourbon","Brazil",7.25,7.25,7.17,7.33,7.17
"1000",81,"Bourbon","El Salvador",7.42,7.08,7.08,7.25,7.58
"1001",81,"Yellow Bourbon","Brazil",7.33,7.17,7.17,7.33,7.17
"1002",81,"Bourbon","Guatemala",7.42,7.25,7.17,7.25,7.17
"1003",81,"Caturra","Colombia",7.67,7.5,7.42,7.67,7.75
"1004",81,"Bourbon","Guatemala",7.5,7.25,7,7.5,7.25
"1005",81,"Typica","Taiwan",7.25,7.17,7.17,7.5,7.33
"1006",81,"Caturra","Honduras",7.42,7.25,7.25,7.25,7.17
"1007",81,"Mundo Novo","Brazil",7.67,7.75,7.83,7.83,7.75
"1008",81,"Other","Tanzania, United Republic Of",7.33,7.33,7.08,7.17,7.33
"1009",81,"SL14","Uganda",7.33,6.92,7.17,7.42,7.42
"1010",81,"Typica","Taiwan",7.5,6.92,7.33,7.33,7.33
"1011",81,NA,"Thailand",7.33,7.42,7.25,7.25,7.17
"1012",81,"Other","Mexico",7.08,7.33,7.33,7.42,7.25
"1013",81,"Typica","Mexico",7.58,7.67,7.5,7.58,7.5
"1014",80.92,"Other","Taiwan",7.33,7.17,7.25,7.33,7.25
"1015",80.92,"Bourbon","Guatemala",7.67,7.67,7.33,7.67,7.5
"1016",80.92,"SL28","Kenya",7.17,7.58,7.5,8,7.75
"1017",80.92,"Bourbon","Mexico",7.5,7.33,7.17,7.5,7.33
"1018",80.92,"Other","Myanmar",7.17,7.42,7,7.33,7
"1019",80.92,"Hawaiian Kona","United States (Hawaii)",7.42,7.08,7.17,7.58,7.25
"1020",80.92,"Other","Tanzania, United Republic Of",7.33,7.17,7.17,7.42,7.33
"1021",80.92,"Yellow Bourbon","Brazil",7.25,7.33,7.25,7.25,7.33
"1022",80.92,"Typica","Taiwan",7.92,7.67,7.33,7.08,7.08
"1023",80.92,"Bourbon","Brazil",7.17,7.42,7.17,7.25,7.33
"1024",80.92,"Caturra","Nicaragua",7.33,7.08,7.25,7.5,7.42
"1025",80.92,"Pacas","Guatemala",7.58,7.42,6.92,7.25,7.17
"1026",80.92,"Typica","Taiwan",7.42,7.25,7.25,7.25,7.25
"1027",80.92,"Typica","Taiwan",7.25,7.17,7.08,7.08,8.08
"1028",80.92,"Typica","Taiwan",7.42,7.25,7.25,7.25,7.25
"1029",80.92,"Typica","Mexico",7.58,7.33,7.08,7.17,7.25
"1030",80.92,"Peaberry","Thailand",7.67,7.58,7.33,7.17,7
"1031",80.83,"Catimor","Laos",7.42,7.33,7.17,7.17,7.25
"1032",80.83,"Caturra","Guatemala",7.67,7.25,7.08,7.17,7.25
"1033",80.83,"Catuai","Mexico",7.17,7.08,7.25,7.25,7.33
"1034",80.83,"Typica","Mexico",7.33,7.25,7.33,7.25,7.17
"1035",80.83,"Bourbon","Mexico",7.5,7.17,7.33,7.17,7.17
"1036",80.83,"Hawaiian Kona","United States (Hawaii)",7.42,7.33,7,7.33,7.5
"1037",80.83,NA,"Colombia",7.33,7.33,7,7.33,7.67
"1038",80.75,NA,"Brazil",7.17,7.25,7.08,7.25,7.58
"1039",80.75,"Catuai","Myanmar",6.92,7.5,7,7.5,7.08
"1040",80.75,"Caturra","Guatemala",7.5,7.33,7,7.17,7.17
"1041",80.75,"Other","Nicaragua",7.25,7.25,7.17,7.33,7.25
"1042",80.75,"Caturra","Honduras",7.5,7.33,7,7.25,7.17
"1043",80.75,"Caturra","Panama",7.25,7.33,7.17,7.33,7.17
"1044",80.75,"Catuai","Honduras",7.42,7.17,7.08,7.25,7.25
"1045",80.75,"Catuai","Honduras",7.25,7.33,7.08,7.25,7.33
"1046",80.75,"Caturra","Costa Rica",7.33,7.33,7.25,7.17,7.17
"1047",80.75,"Typica","Mexico",7.58,7.33,7.42,7.5,7.5
"1048",80.75,"Typica","Haiti",7.42,7,7.42,7.08,7.33
"1049",80.75,"Arusha","United States (Hawaii)",7.08,7.33,7.17,7.33,7.67
"1050",80.67,"Typica","Taiwan",7.33,7.08,7.08,7.42,7.33
"1051",80.67,"Mandheling","Indonesia",7.58,7.42,7,7.5,7.5
"1052",80.67,"Bourbon","Guatemala",7.67,7.42,6.83,7.42,7.17
"1053",80.67,"Caturra","Costa Rica",7.83,7.5,7.67,7.83,7.5
"1054",80.67,"Caturra","Malawi",7.5,7.25,7.17,7.25,7.17
"1055",80.67,"Typica","Mexico",7.25,7.17,7.17,7.17,7.42
"1056",80.67,"Caturra","Colombia",7.67,7.5,7.42,7.5,7.75
"1057",80.67,"Bourbon","Guatemala",7.67,7.17,7,7,7
"1058",80.67,"Bourbon","Guatemala",7,7.33,7.5,7,7.33
"1059",80.67,"Bourbon","Guatemala",7,7.5,7.33,7.17,7.17
"1060",80.67,NA,"Colombia",7.17,7.25,7.08,7.08,7.42
"1061",80.58,NA,"Brazil",7.33,7.25,7.33,7.58,7.25
"1062",80.58,NA,"Nicaragua",7.08,7.5,7,7.42,7
"1063",80.58,"Other","Tanzania, United Republic Of",7.25,7.08,7.08,7.33,7.25
"1064",80.58,"Bourbon","Brazil",7.42,7.25,7.33,7.08,7.25
"1065",80.58,"Caturra","Honduras",7.5,7.17,7,7.33,7
"1066",80.58,"Bourbon","Guatemala",7.17,7.42,6.83,7.17,7.25
"1067",80.58,NA,"United States (Hawaii)",7.42,7.58,7.5,7.83,7.83
"1068",80.58,NA,"Colombia",7.08,7.25,7,7.08,7.33
"1069",80.5,"Other","Taiwan",7.17,7.17,7.17,7.17,7.25
"1070",80.5,"Caturra","Guatemala",7.33,7.25,7.08,7.25,7.17
"1071",80.5,"Catuai","Honduras",7.58,7.33,7,7.33,7.08
"1072",80.5,NA,"Mauritius",7.25,7.25,7.17,7.25,7.17
"1073",80.5,"Yellow Bourbon","Brazil",7.25,7.33,7.17,7.33,7.25
"1074",80.5,"Other","Myanmar",7.17,7.33,7.17,7.25,7.08
"1075",80.5,"Other","Guatemala",7.5,7.17,6.83,7.17,7.17
"1076",80.5,"Yellow Bourbon","Brazil",7.42,7.42,7.08,7.67,7.5
"1077",80.5,"Hawaiian Kona","United States (Hawaii)",7.42,7.33,7.33,7.58,7.42
"1078",80.5,"Bourbon","Guatemala",7.5,7.5,7,7.17,7
"1079",80.5,"Typica","Mexico",7.25,7.25,7.08,7.25,7.17
"1080",80.42,NA,"Honduras",7.25,7.42,7,7.33,7
"1081",80.42,"Typica","Taiwan",7.58,7.17,7.17,7.17,7.17
"1082",80.42,"Bourbon","El Salvador",7.33,7.17,7.08,7.33,7.17
"1083",80.42,"Other","China",7.25,7.08,7.25,7.33,7.17
"1084",80.42,"Typica","Taiwan",7.25,7.25,7.17,7.25,7.25
"1085",80.42,"Typica","Mexico",6.92,7.17,7.08,7.33,7.17
"1086",80.42,"Caturra","Mexico",7.42,7.08,7.08,7.25,7.17
"1087",80.33,NA,"Burundi",7.08,7.25,7.17,7.08,7.08
"1088",80.33,"Bourbon","Tanzania, United Republic Of",7.25,7.17,7,7.42,7.08
"1089",80.33,"Other","Tanzania, United Republic Of",7.25,7.17,7.25,7.25,7.08
"1090",80.33,"Yellow Bourbon","Taiwan",7.25,7.25,7.08,7.25,7.25
